                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,2.9048,2.223,1.1698,0.67195,0.63505,0.65812,0.40502,1.473,0.91238,0.90201,0.00022199,0.00022199,0.00022199
2,2.565,1.3166,1.057,0.7317,0.67043,0.7106,0.47045,1.3585,0.81336,0.885,0.00043992,0.00043992,0.00043992
3,2.4748,1.1992,1.0325,0.80506,0.7022,0.76637,0.52297,1.1963,0.73179,0.86093,0.00065345,0.00065345,0.00065345
4,2.4082,1.1576,1.0261,0.82144,0.68348,0.76874,0.52718,1.2572,0.67881,0.86711,0.00064719,0.00064719,0.00064719
5,2.3303,1.1137,1.0175,0.86546,0.725,0.79236,0.55206,1.1909,0.64778,0.85706,0.00064719,0.00064719,0.00064719
6,2.312,1.0648,1.0091,0.88307,0.72115,0.80675,0.57079,1.1441,0.60792,0.84593,0.00064059,0.00064059,0.00064059
7,2.239,1.0231,0.99424,0.88489,0.72539,0.808,0.58038,1.0826,0.57816,0.84262,0.00063398,0.00063398,0.00063398
8,2.2375,1.0396,0.9987,0.89264,0.72558,0.8133,0.59773,1.0473,0.57214,0.83754,0.00062738,0.00062738,0.00062738
9,2.2425,1.0303,1.0018,0.92226,0.73369,0.82464,0.60943,0.9923,0.53846,0.83588,0.00062078,0.00062078,0.00062078
10,2.2214,1.0076,0.99287,0.91225,0.73225,0.82584,0.61359,1.006,0.56692,0.83426,0.00061417,0.00061417,0.00061417
11,2.1489,0.9706,0.98353,0.92449,0.74123,0.83288,0.61741,1.0038,0.5343,0.83526,0.00060757,0.00060757,0.00060757
12,2.1466,0.98099,0.98632,0.92191,0.74282,0.83093,0.61725,0.97383,0.52306,0.8301,0.00060097,0.00060097,0.00060097
13,2.1254,0.94396,0.97785,0.90782,0.73648,0.82637,0.60668,0.98619,0.53289,0.83245,0.00059436,0.00059436,0.00059436
14,2.1105,0.94979,0.97452,0.90223,0.73481,0.83173,0.62495,0.94327,0.52321,0.82679,0.00058776,0.00058776,0.00058776
15,2.0945,0.93804,0.973,0.92583,0.74609,0.8348,0.62902,0.94925,0.4873,0.83269,0.00058116,0.00058116,0.00058116
16,2.0735,0.92036,0.97139,0.92759,0.739,0.8356,0.62269,0.97255,0.49851,0.83238,0.00057455,0.00057455,0.00057455
17,2.0919,0.94826,0.97252,0.92286,0.74146,0.8332,0.62417,0.95052,0.49097,0.82528,0.00056795,0.00056795,0.00056795
18,2.0959,0.94743,0.97255,0.92079,0.73856,0.82405,0.62099,0.94529,0.51571,0.82559,0.00056135,0.00056135,0.00056135
